StudentID,Year,Faculty,Level,Age,Gender,OverallSatisfaction,TeachingQuality,CoursesStrengths,CoursesWeaknesses,ResearchOpportunities,LabsAndFacilitiesFeedback,AdvisingSupport,DigitalLearningToolsFeedback,CampusLifeFeedback,CareerSupport,AdministrationEfficiencyFeedback,LibraryAndResourcesFeedback,HealthAndWellnessServices,SafetyAndSecurity,RecommendUniversity,OpenComment,,,
STU001,2022.0,Engineering,Freshman,18.0,Male,5.0,5.0,"Practical application of physics, engaging lectures","Math modules move too fast, heavy workload",4.0,Labs are state-of-the-art but often crowded,4.0,LMS is intuitive and easy to navigate,"Orientation week was fantastic, lots of clubs",3.0,Registration was smooth for a first-year,Library is quiet but needs more power outlets,4.0,5.0,Yes,An excellent start to my academic journey with great facilities.,,,
STU002,2021.0,CS,Junior,21.0,Female,3.0,4.0,Programming assignments are relevant to industry,Theory exams are disconnected from projects,5.0,"Computer labs need Linux machines, wifi is fast",2.0,Blackboard crashes often during submission times,Social life is there if you look for it,4.0,Career fair had good tech representation,HR takes weeks to sign internship papers,Online journal access is comprehensive,3.0,4.0,Yes,Good curriculum but the administrative bureaucracy is exhausting.,,
STU003,2023.0,Business,Sophomore,19.0,Female,4.0,4.0,Case studies are very insightful,Too many group projects with uneven effort,3.0,"Classrooms are comfortable, good AV tech",5.0,Advisors actually listen to course preferences,Student union events are the highlight of the week,4.0,Registration system lags but staff helps,Library discussion rooms are great for groups,5.0,4.0,Yes,I love the atmosphere here but group work grading needs standardization.,,,
STU004,2020.0,Medicine,Senior,24.0,Male,2.0,5.0,Clinical rotations are top-tier,Lectures are sometimes outdated compared to practice,5.0,Hospital simulation labs are excellent,2.0,Digital tools for patient data are archaic,No time for social life due to workload,5.0,Internship placement process is chaotic,Admin is non-existent when you have an issue,Resources are good but physical books are old,2.0,3.0,Maybe,Great education quality but zero support for student mental health.,,
STU005,2024.0,Arts,Freshman,18.0,Female,5.0,5.0,Creative freedom and professor mentorship,Some history modules are dry,2.0,Studios have great natural light,5.0,Canvas app works perfectly on mobile,"Very welcoming community, felt at home immediately",3.0,Not enough info on creative career paths yet,Enrollment was easy and digital,Library has an amazing art collection,5.0,5.0,Yes,Everything has exceeded my expectations so far.,,
STU006,2019.0,Engineering,Senior,22.0,Male,2.0,3.0,Capstone project supervision is good,Core subjects haven't been updated in years,3.0,Equipment in the mech lab is often broken,1.0,Advisor never replies to emails,Campus is dead after 5 PM,2.0,Career center focuses too much on business majors,Graduation audit took three months to process,Not enough seating during exam periods,3.0,4.0,No,I am just ready to leave; the admin makes everything harder than it needs to be.,,
STU007,2022.0,Law,Junior,21.0,Female,4.0,5.0,Moot court opportunities are fantastic,Reading load is unrealistic for some weeks,4.0,Lecture halls have bad acoustics,4.0,Legal databases provided are expensive and useful,Debate club is very active,5.0,Great networking events with firms,Registrar office is rude but effective,Law library is the best place on campus,3.0,4.0,Yes,Challenging program but prepares you well for the bar.,,
STU008,2025.0,CS,Sophomore,20.0,Male,4.0,4.0,Algorithms class was explained clearly,Gen-Ed requirements feel like a waste of time,5.0,Need more GPU resources for AI projects,3.0,Zoom integration for hybrid classes is seamless,Esports tournament was fun,4.0,Good co-op opportunities for sophomores,Tuition payment portal is glitchy,Digital library is better than physical one,4.0,4.0,Yes,"Solid CS program, just wish we had less filler classes.",,
STU009,2021.0,Pharmacy,Senior,23.0,Female,3.0,3.0,Lab work is extensive and useful,Professors are brilliant but bad at teaching,4.0,Ventilation in chemistry labs needs improvement,2.0,Portal is okay but looks like it is from 2005,I don't participate much in campus life,5.0,Pharmaceutical industry connections are strong,Transcripts took forever to arrive,Textbooks are overpriced in the bookstore,3.0,4.0,Maybe,"Good degree for a job, but the experience was stressful.",,
STU010,2023.0,Media,Freshman,18.0,Male,5.0,4.0,Access to cameras and editing suites,Intro to theory was boring,3.0,Editing bays are Mac-equipped and fast,5.0,Online submission is straightforward,Lots of film screenings and events,3.0,Haven't checked career services yet,Student ID card printing was fast,Media archives are extensive,4.0,4.0,Yes,I am loving the practical access to equipment so early on.,,
